NTANAME,BORONAME,socialSCORE,affordabilitySCORE,urbanSCORE,safetySCORE,sentimentSCORE,foodieSCORE,publicspaceSCORE,trendySCORE,musicSCORE,socialjusticeSCORE,nightlifeSCORE,fitnessSCORE,SCORE,score_a,OverallSCORE
Spuyten Duyvil-Kingsbridge,Bronx,0.11,-0.88,-0.02,-0.08,1.31,0.68,0.3,0.53,0.07,0.2,-1.47,-0.49,0.629206349,1.04,0.629206349
Bellerose,Queens,0.07,-0.26,-0.13,-0.08,0.43,0.32,1.21,0.69,-0.64,-0.39,-0.26,-0.49,0.841904762,7.74,0.841904762
New Brighton-Silver Lake,Staten Island,-0.29,0,-0.12,0.05,0.8,0.04,0.73,0.21,0.18,0.18,-0.53,-0.49,0.858095238,8.25,0.858095238
Hamilton Heights,Manhattan,0.65,-0.94,-0.02,-0.01,0.8,0.05,0.26,-0.17,0.24,-0.36,1.49,0.05,1.348571429,23.7,1.348571429
Madison,Brooklyn,0.18,0.57,-0.13,-0.07,-0.18,-0.61,0.54,-0.73,0.65,-0.07,1.69,1.23,1.419365079,25.93,1.419365079
East Elmhurst,Queens,-0.63,0.41,-0.11,0,0.7,-0.63,1.19,-0.06,0.33,0.04,-0.13,2.05,1.320952381,22.83,1.320952381
St. Albans,Queens,0.04,-0.16,-0.15,0.31,-0.52,0.88,1.21,0.69,0.17,-1.05,-1.47,-0.49,0.592698413,-0.11,0.592698413
Cypress Hills-City Line,Brooklyn,-0.44,0.37,-0.14,0.07,0.46,0.42,-0.4,0.97,0.07,0.2,-0.33,-0.49,0.870793651,8.65,0.870793651
Steinway,Queens,-0.72,0.73,-0.12,0.01,0.58,1.21,0.27,-0.69,-1.27,0.11,1.19,-0.49,0.877460317,8.86,0.877460317
Port Richmond,Staten Island,0.28,0.26,-0.13,-0.06,-0.35,0.57,-0.07,0.26,0.02,-0.09,0.29,-0.49,0.767936508,5.41,0.767936508
Bronxdale,Bronx,0.16,-0.38,0.15,0.22,0.41,-0.16,0.14,-0.46,0.47,0.52,0.69,-0.49,0.976190476,11.97,0.976190476
Mount Hope,Bronx,0.44,-0.78,0.04,-0.02,0.48,0.34,1.02,-0.46,-0.01,0.13,-0.39,-0.49,0.65968254,2,0.65968254
Central Harlem South,Manhattan,0.28,-0.5,-0.06,0.04,0.22,0.37,0.59,0.22,0.06,-0.43,0.17,-0.01,0.972063492,11.84,0.972063492
Hammels-Arverne-Edgemere,Queens,-0.2,-0.51,-0.11,1.09,-0.67,0,1.46,1.22,-0.01,-1.05,-0.39,-0.49,1.034285714,13.8,1.034285714
Allerton-Pelham Gardens,Bronx,-0.52,-0.05,-0.11,0.05,0.06,2.01,0.47,1.64,-1.45,-1.05,-1.47,-0.49,0.478730159,-3.7,0.478730159
Schuylerville-Throgs Neck-Edgewater Park,Bronx,0.09,-0.18,-0.13,0.09,0.07,0.39,0.64,0.43,-0.23,-0.05,-0.37,-0.49,0.719365079,3.88,0.719365079
Claremont-Bathgate,Bronx,0.5,-0.93,-0.03,0,0.39,0.37,1.28,-0.08,-0.28,-0.09,-0.59,-0.49,0.630793651,1.09,0.630793651
Pomonok-Flushing Heights-Hillcrest,Queens,-0.47,0.55,-0.13,-0.02,0.15,0.51,-0.19,0.38,0.35,-0.17,0.15,-0.49,0.930793651,10.54,0.930793651
Turtle Bay-East Midtown,Manhattan,0.61,-0.89,0.05,-0.16,0.46,0.29,0.05,0.23,0.27,0.04,0.01,0.06,0.879365079,8.92,0.879365079
park-cemetery-etc-Brooklyn,Brooklyn,0.05,-0.04,-0.15,-0.17,0.38,0.2,0.17,0.14,0.26,0.02,0.23,-0.18,0.932698413,10.6,0.932698413
Midtown-Midtown South,Manhattan,0.57,-1.1,-0.05,-0.11,0.74,0.18,0.34,0.34,0.17,-0.09,0,-0.01,0.946984127,11.05,0.946984127
Dyker Heights,Brooklyn,-0.48,1.08,-0.14,-0.06,-0.11,-0.17,-0.12,0.17,-0.08,1.57,-0.79,-0.49,0.408253968,-5.92,0.408253968
Battery Park City-Lower Manhattan,Manhattan,0.91,-1.76,0.26,-0.15,0.83,0.44,0.22,0.05,0.02,0.03,0.03,0.02,0.845714286,7.86,0.845714286
Longwood,Bronx,0.6,-0.54,-0.04,-0.02,-0.13,0.21,-0.12,-0.63,-0.16,0.01,0.47,6.88,1.564126984,30.49,1.564126984
Grymes Hill-Clifton-Fox Hills,Staten Island,0.24,-0.03,-0.13,-0.13,0.01,0.8,-0.18,-0.3,0.13,0.24,-0.05,-0.49,0.605714286,0.3,0.605714286
Forest Hills,Queens,0.2,-0.04,-0.12,-0.11,-0.08,0.14,0.54,0.07,-0.03,0.24,-0.05,-0.49,0.687619048,2.88,0.687619048
Seagate-Coney Island,Brooklyn,0.24,-0.71,-0.1,0.35,-0.26,0.4,0.47,1.64,-0.99,-0.29,-0.08,-0.49,0.804444444,6.56,0.804444444
Bath Beach,Brooklyn,-0.67,0.86,-0.12,-0.05,-0.58,0.32,1.21,0.69,-0.64,-0.39,-0.26,-0.49,0.706984127,3.49,0.706984127
Sheepshead Bay-Gerritsen Beach-Manhattan Beach,Brooklyn,0.24,0.09,-0.14,0.15,-0.21,-0.38,0.3,-2.14,1.59,-0.43,1.96,3.85,1.753650794,36.46,1.753650794
Morrisania-Melrose,Bronx,0.47,-0.69,-0.09,0.04,-0.26,-0.1,0.67,1.22,-0.3,0.13,-1.04,1.15,0.740952381,4.56,0.740952381
Washington Heights North,Manhattan,0.17,-0.74,0.08,-0.11,0.48,0.38,0.17,0.16,0.07,-0.12,0.15,0.63,0.984126984,12.22,0.984126984
Mott Haven-Port Morris,Bronx,0.63,-1.47,-0.08,0.1,1.03,-0.63,-0.03,0.71,0.5,0.75,-0.01,-0.49,0.964126984,11.59,0.964126984
New Springville-Bloomfield-Travis,Staten Island,-0.48,0.03,-0.15,-0.06,0.53,0.23,0.02,0.61,0.12,-0.73,1.47,-0.49,1.36984127,24.37,1.36984127
Ridgewood,Queens,-0.55,0.53,-0.13,-0.02,0.22,-0.42,0.42,-0.05,0.54,0.58,0.02,-0.49,0.855555556,8.17,0.855555556
Kew Gardens Hills,Queens,0.21,-0.26,-0.12,-0.11,-0.17,0.12,0.57,0.3,0.64,-0.37,-0.22,-0.49,0.815238095,6.9,0.815238095
Jamaica,Queens,-0.53,0.15,-0.13,0.21,0.13,1.28,-0.01,-0.43,-0.2,-0.37,0.41,-0.49,0.801587302,6.47,0.801587302
Georgetown-Marine Park-Bergen Beach-Mill Basin,Brooklyn,-0.6,0.3,-0.14,0.01,0.07,0.28,0.57,0.57,0.16,-0.16,-0.7,-0.12,0.779047619,5.76,0.779047619
Elmhurst,Queens,-0.52,0.49,-0.13,-0.1,0.41,0,-0.31,-0.05,0.54,0.42,0.62,-0.49,0.986031746,12.28,0.986031746
Grasmere-Arrochar-Ft. Wadsworth,Staten Island,-0.47,-0.27,-0.13,0.01,0.32,1.11,-0.12,0.88,1.14,-1.05,-1.47,-0.49,0.774285714,5.61,0.774285714
University Heights-Morris Heights,Bronx,-0.21,-0.52,0.02,0.07,0.29,0.13,0.47,1.01,-0.37,-1.05,1.77,-0.49,1.440952381,26.61,1.440952381
Hunters Point-Sunnyside-West Maspeth,Queens,0.04,-0.12,-0.11,-0.03,-0.13,0.37,0.18,0.2,-0.04,-0.12,0.32,0.44,0.915873016,10.07,0.915873016
East Tremont,Bronx,0.5,-0.03,-0.06,0.16,-1.13,0.97,-0.67,0.77,-0.95,-0.24,1.52,-0.49,0.823174603,7.15,0.823174603
Old Town-Dongan Hills-South Beach,Staten Island,-0.39,0.06,-0.14,0.09,0.18,0.08,0.9,-0.52,0.86,0.08,-0.78,-0.49,0.685714286,2.82,0.685714286
Queens Village,Queens,-0.57,-0.14,-0.14,0.23,0,0.08,0.9,1.75,-0.71,-0.75,0.19,-0.49,1.084126984,15.37,1.084126984
Laurelton,Queens,-0.05,-0.1,-0.13,0.29,-0.58,-2.5,1.46,0.38,5.01,-1.05,-1.47,-0.49,1.384444444,24.83,1.384444444
Springfield Gardens South-Brookville,Queens,-0.71,0.06,-0.13,-0.03,0.7,0.08,0.05,1.1,-0.53,-0.29,1.3,-0.49,1.30031746,22.18,1.30031746
Westerleigh,Staten Island,-0.39,0.35,-0.14,-0.11,0.21,-0.04,0.52,-0.49,0.43,0.88,-0.77,-0.49,0.507619048,-2.79,0.507619048
Hollis,Queens,-0.52,0.01,-0.12,0,0.15,0.75,0.35,1.49,-1.45,0.65,-1.47,-0.49,0.308253968,-9.07,0.308253968
Queensbridge-Ravenswood-Long Island City,Queens,-0.53,-0.41,-0.01,-0.04,0.82,0.4,0.32,0.42,-0.57,-0.33,0.83,0.76,1.236507937,20.17,1.236507937
Melrose South-Mott Haven North,Bronx,0.51,-0.99,-0.07,0.09,-0.11,0.51,-0.24,0.74,-0.83,-0.04,0.38,3.02,1.131428571,16.86,1.131428571
Springfield Gardens North,Queens,0.01,0.26,-0.1,0.14,-0.43,-0.81,-1.02,-0.25,2.59,-1.05,3.39,-0.49,1.954285714,42.78,1.954285714
East Concourse-Concourse Village,Bronx,0.37,-0.77,-0.06,-0.04,-0.14,0.39,-0.12,1.49,-0.42,0.65,-1.47,-0.49,0.327936508,-8.45,0.327936508
Parkchester,Bronx,-0.47,-0.16,0.31,-0.05,0.27,1.37,-0.8,0.02,-1.45,0.46,1.3,-0.49,0.731428571,4.26,0.731428571
East Flushing,Queens,-0.59,0.98,-0.13,-0.13,0.32,-2.5,1.46,-2.14,2.86,2.48,-1.47,-0.49,0.487619048,-3.42,0.487619048
